Country_ID,zlene,COUNTRY
PEL,-3.24,PE
PEL,0.84,PE
PEL,-1.26,PE
PEL,-0.19,PE
PEL,-0.65,PE
PEL,-1.33,PE
PEL,-1.42,PE
PEL,-1.41,PE
PEL,-2.68,PE
PEL,-2.06,PE
PEL,-2.67,PE
PEL,-0.62,PE
PEL,0.18,PE
PEL,-1.76,PE
PEL,-1.33,PE
PEL,-1.06,PE
PEL,-0.88,PE
PEL,-0.88,PE
PEL,0.18,PE
PEL,-1.04,PE
PEL,-0.6,PE
PEL,-2.21,PE
PEL,-1.97,PE
PEL,-1.46,PE
PEL,-1.02,PE
PEL,-2.11,PE
PEL,-0.4,PE
PEL,-2.57,PE
PEL,-1.77,PE
PEL,-1.19,PE
PEL,-1.34,PE
PEL,-0.51,PE
PEL,-1.29,PE
PEL,-0.31,PE
PEL,0.45,PE
PEL,1.81,PE
PEL,-2.01,PE
PEL,-0.44,PE
PEL,-2.57,PE
PEL,-1.47,PE
PEL,-0.35,PE
PEL,-0.57,PE
PEL,-1.71,PE
PEL,-0.43,PE
PEL,-0.28,PE
PEL,-1.6,PE
PEL,-1.86,PE
PEL,0.1,PE
PEL,-0.41,PE
PEL,-0.05,PE
PEL,0.27,PE
PEL,-0.4,PE
PEL,-1.34,PE
PEL,0.7,PE
PEL,-0.72,PE
PEL,-0.46,PE
PEL,-1.1,PE
PEL,-0.84,PE
PEL,-0.67,PE
PEL,-0.64,PE
PEL,-0.19,PE
PEL,-0.38,PE
PEL,-1.47,PE
PEL,-1.53,PE
PEL,-0.6,PE
PEL,-0.95,PE
PEL,-0.53,PE
PEL,-0.97,PE
PEL,-1.18,PE
PEL,-1.07,PE
PEL,-0.65,PE
PEL,0.24,PE
PEL,-0.68,PE
PEL,-0.36,PE
PEL,-0.11,PE
PEL,-1.52,PE
PEL,-2.15,PE
PEL,-0.15,PE
PEL,-3.99,PE
PEL,0.36,PE
PEL,-2.19,PE
PEL,-0.72,PE
PEL,-0.74,PE
PEL,-1.61,PE
PEL,0.72,PE
PEL,-2.31,PE
PEL,-0.23,PE
PEL,-2.13,PE
PEL,-0.61,PE
PEL,0.11,PE
PEL,-2.47,PE
PEL,-1.31,PE
PEL,-0.99,PE
PEL,-2.89,PE
PEL,-0.68,PE
PEL,-0.78,PE
PEL,-3.3,PE
PEL,0.89,PE
PEL,-0.74,PE
PEL,-1.64,PE
PEL,-1.44,PE
PEL,-0.44,PE
PEL,-0.69,PE
PEL,-0.31,PE
PEL,-1.4,PE
PEL,-1.63,PE
PEL,0.31,PE
PKN,-1.02,PK
PKN,-3.38,PK
PKN,-2.35,PK
PKN,-0.9,PK
PKN,-2.33,PK
PKN,-2.39,PK
PKN,-1.15,PK
PKN,-0.42,PK
PKN,-2.83,PK
PKN,-2.46,PK
PKN,-2.75,PK
PKN,-3.86,PK
PKN,-0.6,PK
PKN,-1.09,PK
PKN,-1.28,PK
PKN,-1.52,PK
PKN,-0.86,PK
PKN,-1.37,PK
PKN,-0.39,PK
PKN,-3.89,PK
PKN,-2.19,PK
PKN,-2.79,PK
PKN,-2.19,PK
PKN,-2.17,PK
PKN,-2.94,PK
PKN,-1.38,PK
PKN,-0.32,PK
PKN,-1.87,PK
PKN,-0.55,PK
PKN,-4.7,PK
PKN,-1.64,PK
PKN,-1.22,PK
PKN,-0.36,PK
PKN,-1.65,PK
PKN,0.09,PK
PKN,-1.37,PK
PKN,-0.44,PK
PKN,-0.8,PK
PKN,-0.9,PK
PKN,-1.23,PK
PKN,-0.3,PK
PKN,0.76,PK
PKN,-0.77,PK
PKN,-1.04,PK
PKN,-2.32,PK
PKN,-2.66,PK
PKN,-1.59,PK
PKN,-4.66,PK
PKN,-0.74,PK
PKN,0.45,PK
PKN,-0.87,PK
PKN,-1.53,PK
PKN,-0.08,PK
PKN,0.89,PK
PKN,1.95,PK
PKN,0.22,PK
PKN,-1.95,PK
PKN,-1.81,PK
