agemonths,haz,waz,hcaz
11,-1.870742008,-2.448022515,-1.32786313
12,-1.958479483,-2.344529933,-0.664859278
12.9,-2.519767755,-2.470563671,-0.991357806
14.1,-2.028303429,-2.555681497,-0.979915857
14.9,-2.358128378,-2.435935118,-0.833641492
16.1,-2.743793133,-2.554995424,-0.63827906
17.1,-2.99930829,-2.426466495,-0.924989482
18.1,-3.029223093,-2.314727943,-1.057023913
19.1,-3.029708426,-2.120551152,-1.173450682
20,-3.023911333,-2.04050276,-1.86150383
21.1,-2.458610802,-2.221507424,-1.117905891
22.1,-2.712801895,-2.383141061,-1.224173233
23.1,-2.63730831,-2.702868903,-1.111100261
23.9,-2.783310387,-2.715643425,-1.20047949
0.065703,-0.794939997,-0.237782664,-0.908573495
1.1,-0.449492431,0.432005216,-1.235211289
1.9,-0.58147637,-0.746204116,-1.584050058
3,-1.377441405,-0.766750511,-1.51835121
4,-1.896996997,-1.112388143,-1.334532393
5,-1.838320294,-0.885655425,-1.072803598
6,-1.368447484,-0.807261251,-0.866952963
7,-1.288932458,-0.78284124,-0.932302273
8,-1.763971336,-1.274748247,-1.11042915
8.9,-1.456370572,-0.637237763,-1.785848315
10,-1.080505914,-0.956825203,-1.505854271
11.9,-1.52639298,-0.991745515,-1.969000511
13,-1.266031036,-1.005166647,-1.230203395
14,-1.543039249,-1.48814002,0.425596506
15,-1.773379378,-1.610067322,-1.723744327
16.1,-1.968655576,-1.376578248,-1.660362367
17.1,-1.772869636,-1.215088115,-1.577616115
18.2,-2.086918629,-1.125993294,-1.6444415
19.1,-2.118111752,-1.228988417,-1.173450682
20.2,-1.942618337,-1.283452689,-1.447534487
21.1,-2.109914942,-1.173580041,-1.48138048
22,-2.078862257,-1.149653217,-1.42915378
23.1,-1.764137852,-1.210243687,-1.83193735
24,-1.674489164,-1.320234482,-1.705310725
0.1642576,-0.927871993,-2.162303965,-1.589084859
1,-0.785439261,-1.753351329,-1.001054532
2,-0.719075445,-1.350891422,-1.649709796
3,-1.125853484,-1.054882795,-1.354528622
4,-0.159258781,-0.649758894,-1.262213929
5,-0.497908539,-0.685503112,-1.060061335
6,-1.070324355,-0.587282191,-1.406313324
7,-0.835337073,-0.907950738,-1.913449274
8,-0.871345234,-1.14990086,-1.877790009
9,-0.904247798,-0.944998936,-1.263036923
11,-1.205123353,-0.903644392,-2.232496828
11.9,-0.952829427,-1.043056696,-2.059288982
13,-1.016411697,-1.171977911,-2.050408148
14,-0.638015346,-0.948766925,-1.60802266
15,-0.919702743,-0.720344383,-1.379107539
16.1,-0.404811846,-0.919390792,-1.395247058
17,-0.681508991,-1.032048696,-1.291714859
18,-0.776314563,-0.893230059,-1.415231735
19,-0.603476177,-1.28150381,-1.38038232
